iter	Logloss
0	0.5932417743
1	0.5171555151
2	0.4605186017
3	0.4173863047
4	0.3833721861
5	0.3571392855
6	0.3371970595
7	0.3222489815
8	0.3111787217
9	0.3017584483
10	0.2944265786
11	0.2887868244
12	0.2845342505
13	0.2813564923
14	0.2786146448
15	0.2765963855
16	0.2743758282
17	0.2729951345
18	0.2716501994
19	0.2708738956
20	0.2698848029
21	0.2694123288
22	0.2687811188
23	0.2682941522
24	0.2677623387
25	0.2673494296
26	0.2670437187
27	0.2667795634
28	0.2665809349
29	0.2664147998
30	0.266231274
31	0.2661044913
32	0.2658896574
33	0.2657807525
34	0.2656395139
35	0.265560886
36	0.2655106195
37	0.2654415142
38	0.2653519287
39	0.2652435234
40	0.2651538061
41	0.2651205833
42	0.2650768109
43	0.2650297609
44	0.2649565164
45	0.2649364072
46	0.264889335
47	0.2648536634
48	0.2647977683
49	0.2647720531
50	0.264728834
51	0.2646898152
52	0.2646598594
53	0.2646092844
54	0.2645654548
55	0.2645280177
56	0.2645074056
57	0.2644735973
58	0.264447168
59	0.2644070506
60	0.264396771
61	0.2643595833
62	0.2643233236
63	0.2643012397
64	0.2642861561
65	0.2642620989
66	0.2642483775
67	0.2642268788
68	0.2642132839
69	0.2641828161
70	0.2641650302
71	0.2641415014
72	0.264128697
73	0.2641138769
74	0.2640955307
75	0.2640628047
76	0.2640277499
77	0.2640246321
78	0.2640037896
79	0.2639717072
80	0.2639484213
81	0.2639257898
82	0.2639067626
83	0.2638863188
84	0.2638678121
85	0.2638476894
86	0.2638244132
87	0.2638045116
88	0.2637822136
89	0.26376569
90	0.2637432668
91	0.263725379
92	0.2637120657
93	0.2636982964
94	0.2636744553
95	0.2636512129
96	0.2636473256
97	0.2636201126
98	0.2636014855
99	0.2635773889
100	0.2635652031
101	0.2635529602
102	0.263539258
103	0.2635343504
104	0.2635275712
105	0.26351296
106	0.2634844526
107	0.2634664737
108	0.263448322
109	0.2634343069
110	0.2634152106
111	0.2633977534
112	0.2633830989
113	0.2633680584
114	0.2633404218
115	0.2633238527
116	0.2633001427
117	0.2632850409
118	0.2632701783
119	0.2632441256
120	0.2632218943
121	0.2632038131
122	0.263176854
123	0.2631691341
124	0.2631446284
125	0.2631305642
126	0.2631122564
127	0.2630991541
128	0.2630771703
129	0.2630546167
130	0.2630342112
131	0.2630188348
132	0.2629985514
133	0.2629711487
134	0.2629578219
135	0.2629446711
136	0.2629287979
137	0.2629059428
138	0.2628692175
139	0.2628426889
140	0.2628284144
141	0.2628153374
142	0.2627868435
143	0.262755975
144	0.2627314135
145	0.2627141116
146	0.2626800468
147	0.2626682437
148	0.2626509929
149	0.2626314195
150	0.2626176926
151	0.262600363
152	0.2625795593
153	0.2625609217
154	0.2625428513
155	0.2625219142
156	0.2625117857
157	0.2624983713
158	0.2624851247
159	0.2624620141
160	0.2624473582
161	0.2624317789
162	0.2624191876
163	0.2624068967
164	0.2623903801
165	0.2623776084
166	0.2623514468
167	0.2623325755
168	0.2623164991
169	0.2622896045
170	0.2622844348
171	0.2622727838
172	0.2622499639
173	0.2622394866
174	0.2622123918
175	0.2621960868
176	0.2621749146
177	0.2621451108
178	0.2621290624
179	0.2621111029
180	0.2621034676
181	0.2620886385
182	0.262070242
183	0.2620499083
184	0.2620234209
185	0.2620043507
186	0.2619792507
187	0.261970349
188	0.2619483683
189	0.2619292989
190	0.2619078994
191	0.2618947712
192	0.2618888144
193	0.2618620725
194	0.261848749
195	0.2618286035
196	0.2618073987
197	0.2617860024
198	0.2617661388
199	0.2617490743
200	0.2617311547
201	0.2617230785
202	0.2617134532
203	0.2617009795
204	0.2616861308
205	0.2616673163
206	0.2616500443
207	0.261642744
208	0.2616215524
209	0.2616047273
210	0.2615863111
211	0.2615664102
212	0.2615541566
213	0.2615332503
214	0.2615249722
215	0.261516002
216	0.2615071377
217	0.2614905196
218	0.2614675404
219	0.2614509809
220	0.2614396952
221	0.2614344175
222	0.2614163888
223	0.261403428
224	0.2613974789
225	0.2613864896
226	0.2613718774
227	0.2613644235
228	0.2613461617
229	0.2613382815
230	0.261319828
231	0.2613012562
232	0.2612853434
233	0.2612695194
234	0.2612474199
235	0.2612437688
236	0.2612256514
237	0.2612130938
238	0.2611911209
239	0.2611778446
240	0.2611526719
241	0.2611383375
242	0.2611314662
243	0.2611188326
244	0.2610971887
245	0.2610830325
246	0.2610689236
247	0.2610525756
248	0.2610395541
249	0.2610314088
250	0.2610130576
251	0.2609912295
252	0.2609780555
253	0.2609660148
254	0.2609496879
255	0.2609366079
256	0.2609317791
257	0.260921184
258	0.2609062267
259	0.2608883509
260	0.2608777769
261	0.2608634885
262	0.2608515813
263	0.260844025
264	0.2608306414
265	0.2608180723
266	0.2607944889
267	0.2607797588
268	0.2607656914
269	0.2607409379
270	0.2607201857
271	0.2607016108
272	0.2606856206
273	0.2606783137
274	0.2606535875
275	0.2606329612
276	0.2606140313
