iter	Passed	Remaining
0	27	27712
1	55	27500
2	77	25696
3	97	24183
4	122	24389
5	149	24778
6	177	25199
7	201	24993
8	225	24781
9	252	24950
10	279	25163
11	310	25581
12	339	25800
13	359	25340
14	387	25445
15	406	25014
16	431	24967
17	454	24799
18	477	24634
19	498	24411
20	519	24229
21	534	23755
22	557	23672
23	581	23637
24	606	23653
25	629	23586
26	654	23603
27	681	23669
28	707	23702
29	732	23672
30	757	23682
31	784	23718
32	809	23707
33	831	23630
34	855	23597
35	882	23635
36	907	23614
37	930	23566
38	953	23489
39	976	23427
40	999	23383
41	1022	23316
42	1044	23252
43	1069	23233
44	1092	23182
45	1116	23146
46	1136	23051
47	1161	23030
48	1184	22980
49	1207	22940
50	1232	22931
51	1255	22893
52	1279	22855
53	1301	22807
54	1324	22758
55	1348	22738
56	1371	22691
57	1395	22666
58	1416	22597
59	1440	22564
60	1455	22399
61	1481	22408
62	1505	22385
63	1527	22338
64	1550	22297
65	1571	22240
66	1596	22231
67	1619	22194
68	1642	22167
69	1664	22120
70	1689	22099
71	1712	22070
72	1735	22041
73	1757	21993
74	1781	21969
75	1805	21954
76	1828	21923
77	1851	21890
78	1877	21883
79	1902	21884
80	1925	21849
81	1949	21820
82	1972	21794
83	1996	21776
84	2021	21764
85	2045	21740
86	2070	21727
87	2092	21687
88	2118	21685
89	2141	21655
90	2165	21628
91	2188	21599
92	2211	21571
93	2236	21554
94	2258	21516
95	2280	21478
96	2299	21403
97	2324	21393
98	2348	21369
99	2372	21352
100	2395	21322
101	2418	21294
102	2443	21279
103	2465	21238
104	2483	21173
105	2507	21150
106	2532	21139
107	2558	21131
108	2582	21112
109	2607	21097
110	2628	21054
111	2651	21024
112	2676	21006
113	2698	20976
114	2723	20959
115	2747	20935
116	2771	20914
117	2794	20890
118	2817	20860
119	2841	20841
120	2866	20825
121	2891	20808
122	2915	20788
123	2940	20770
124	2965	20756
125	2989	20738
126	3013	20715
127	3037	20691
128	3060	20663
129	3083	20634
130	3108	20619
131	3131	20595
132	3156	20578
133	3182	20568
134	3208	20556
135	3232	20537
136	3258	20523
137	3282	20503
138	3307	20487
139	3331	20465
140	3356	20450
141	3379	20420
142	3405	20406
143	3428	20379
144	3451	20354
145	3476	20335
146	3500	20312
147	3525	20297
148	3549	20273
149	3574	20255
150	3598	20233
151	3623	20217
152	3648	20198
153	3672	20172
154	3696	20152
155	3719	20121
156	3742	20096
157	3765	20068
158	3788	20040
159	3811	20012
160	3835	19987
161	3861	19973
162	3884	19948
163	3907	19920
164	3931	19893
165	3953	19862
166	3978	19843
167	4000	19811
168	4026	19796
169	4052	19784
170	4076	19764
171	4102	19750
172	4126	19724
173	4149	19698
174	4173	19674
175	4196	19648
176	4220	19624
177	4244	19601
178	4269	19581
179	4294	19562
180	4317	19537
181	4342	19519
182	4367	19498
183	4391	19475
184	4416	19457
185	4440	19432
186	4463	19407
187	4487	19384
188	4512	19361
189	4534	19332
190	4559	19311
191	4583	19287
192	4606	19261
193	4631	19243
194	4655	19220
195	4680	19197
196	4704	19174
197	4728	19151
198	4752	19127
199	4776	19107
200	4801	19086
201	4824	19060
202	4848	19035
203	4872	19013
204	4896	18988
205	4921	18969
206	4944	18941
207	4967	18915
208	4992	18893
209	5015	18868
210	5040	18846
211	5064	18823
212	5086	18794
213	5109	18767
214	5132	18741
215	5163	18742
216	5190	18727
217	5212	18699
218	5237	18677
219	5260	18649
220	5283	18624
221	5306	18595
222	5330	18572
223	5355	18551
224	5377	18522
225	5401	18498
226	5425	18475
227	5449	18452
228	5473	18427
229	5497	18405
230	5521	18382
231	5547	18364
232	5572	18344
233	5597	18323
234	5621	18299
235	5644	18273
236	5665	18240
237	5689	18214
238	5713	18191
239	5736	18164
240	5759	18138
241	5784	18117
242	5807	18091
243	5831	18067
244	5853	18037
245	5876	18012
246	5901	17991
247	5926	17970
248	5951	17948
249	5976	17928
250	6001	17908
251	6025	17885
252	6049	17860
253	6073	17838
254	6097	17815
255	6121	17790
256	6144	17763
257	6167	17738
258	6190	17712
259	6215	17690
260	6241	17672
261	6266	17650
262	6290	17627
263	6315	17607
264	6340	17585
265	6362	17557
266	6386	17532
267	6408	17502
268	6432	17479
269	6456	17457
270	6479	17429
271	6504	17408
272	6526	17379
273	6548	17351
274	6571	17324
275	6594	17299
276	6617	17272
277	6641	17249
278	6666	17227
279	6689	17201
280	6714	17180
281	6738	17157
282	6762	17133
283	6785	17106
284	6808	17081
285	6832	17058
286	6857	17036
287	6881	17011
288	6906	16990
289	6929	16964
290	6953	16942
291	6976	16914
292	6998	16886
293	7022	16863
294	7046	16840
295	7071	16817
296	7096	16796
297	7120	16772
298	7144	16750
299	7167	16725
300	7191	16700
301	7214	16674
302	7238	16650
303	7259	16620
304	7282	16595
305	7307	16572
306	7331	16549
307	7355	16525
308	7378	16499
309	7402	16476
310	7427	16455
311	7450	16428
312	7475	16407
313	7499	16384
314	7524	16362
315	7549	16341
316	7572	16316
317	7595	16290
318	7618	16264
319	7642	16239
320	7666	16216
321	7689	16191
322	7714	16168
323	7737	16143
324	7760	16118
325	7784	16094
326	7807	16069
327	7832	16046
328	7853	16017
329	7877	15993
330	7901	15970
331	7925	15946
332	7950	15925
333	7976	15905
334	8001	15884
335	8025	15859
336	8050	15838
337	8074	15815
338	8098	15789
339	8121	15764
340	8147	15745
341	8170	15720
342	8194	15696
343	8219	15674
344	8243	15649
345	8266	15625
346	8289	15599
347	8313	15576
348	8337	15552
349	8362	15530
350	8387	15508
351	8410	15483
352	8433	15457
353	8458	15435
354	8482	15411
355	8509	15393
356	8533	15370
357	8559	15349
358	8584	15328
359	8609	15305
360	8632	15280
361	8656	15256
362	8679	15231
363	8702	15204
364	8726	15181
365	8749	15156
366	8771	15129
367	8795	15105
368	8819	15081
369	8842	15056
370	8864	15029
371	8890	15007
372	8913	14984
373	8938	14960
374	8961	14935
375	8984	14911
376	9009	14888
377	9033	14864
378	9055	14837
379	9079	14813
380	9102	14788
381	9124	14762
382	9148	14738
383	9171	14712
384	9195	14688
385	9219	14665
386	9243	14641
387	9268	14619
388	9291	14594
389	9315	14570
390	9337	14542
391	9360	14519
392	9384	14494
393	9407	14468
394	9429	14443
395	9454	14420
396	9478	14397
397	9503	14375
398	9527	14351
399	9551	14327
400	9575	14303
401	9599	14280
402	9623	14256
403	9648	14233
404	9673	14211
405	9698	14190
406	9721	14163
407	9745	14140
408	9768	14115
409	9793	14092
410	9816	14067
411	9839	14042
412	9863	14019
413	9888	13996
414	9912	13972
415	9935	13948
416	9958	13923
417	9982	13898
418	10006	13874
419	10029	13850
420	10051	13824
421	10073	13798
422	10099	13775
423	10121	13750
424	10146	13726
425	10168	13701
426	10194	13679
427	10218	13655
428	10241	13631
429	10264	13607
430	10288	13582
431	10312	13559
432	10336	13535
433	10360	13511
434	10382	13485
435	10406	13461
436	10430	13438
437	10454	13414
438	10479	13391
439	10504	13368
440	10528	13345
441	10551	13320
442	10575	13297
443	10597	13271
444	10621	13247
445	10646	13224
446	10671	13202
447	10696	13180
448	10722	13158
449	10748	13137
450	10772	13113
451	10797	13090
452	10820	13065
453	10843	13040
454	10867	13016
455	10889	12990
456	10913	12967
457	10934	12940
458	10958	12916
459	10980	12889
460	11001	12862
461	11023	12837
462	11046	12812
463	11069	12786
464	11090	12760
465	11114	12735
466	11136	12710
467	11159	12685
468	11183	12661
469	11205	12636
470	11229	12612
471	11252	12587
