iter	PRAUC	Logloss
0	0.4307502393	0.6645897511
1	0.4407562335	0.6388356647
2	0.4460314874	0.6186015105
3	0.4492460162	0.6001963219
4	0.4490194151	0.5843892301
5	0.4512689885	0.5709176642
6	0.4524795978	0.5594419503
7	0.4533272672	0.5485297087
8	0.4541771696	0.5396281766
9	0.4550118147	0.5312495568
10	0.4551464583	0.524370293
11	0.4557631219	0.5178854307
12	0.455972761	0.5126343111
13	0.4571579991	0.5076964429
14	0.4574431175	0.5034588623
15	0.4578404095	0.5000348083
16	0.4589610409	0.4971292835
17	0.4592542474	0.4947184131
18	0.4599527517	0.4920761391
19	0.4612563602	0.4895964391
20	0.461257832	0.4877314118
21	0.4623540887	0.4857051857
22	0.4627161558	0.4839223285
23	0.4633038287	0.4825489915
24	0.463599771	0.481104023
25	0.4648554306	0.480114032
26	0.4650730586	0.4789544897
27	0.4665082584	0.4777951313
28	0.4668040769	0.4768897438
29	0.4679745956	0.4759275002
30	0.4683179728	0.4751013838
31	0.4693613095	0.4742075143
32	0.4697921563	0.4735173182
33	0.4703642964	0.4729551493
34	0.471709642	0.4723277987
35	0.4725495011	0.4718002721
36	0.4728693545	0.4711925936
37	0.4736697441	0.470793412
38	0.4743630014	0.4703237342
39	0.474852326	0.4697814595
40	0.4754377068	0.4692705956
41	0.4764233895	0.4687890088
42	0.4772374542	0.4683984535
43	0.4782049426	0.4679884932
44	0.4785841935	0.4676354073
45	0.4794964374	0.4673010046
46	0.4800514909	0.4669429635
47	0.4806618716	0.4666347641
48	0.4810689168	0.4663772119
49	0.4821742765	0.4660541603
50	0.482514214	0.4657038085
51	0.4827312127	0.4654581909
52	0.4832850855	0.4652210484
53	0.4834474424	0.4649466285
54	0.4837947234	0.4647632342
55	0.4842521792	0.4645461996
56	0.4844945315	0.464248875
57	0.484884663	0.4639927127
58	0.4853826455	0.4637185005
59	0.4862876019	0.4634294101
60	0.4869126438	0.4632115483
61	0.4873598264	0.4630461149
62	0.4875741977	0.462893011
63	0.4879933485	0.4626830743
64	0.4882145527	0.462478425
65	0.488933222	0.4621391015
66	0.489492993	0.4619157892
67	0.4897699831	0.4617803495
68	0.4899257145	0.4616400884
69	0.49033566	0.4613779363
70	0.4909551872	0.4610924206
71	0.49145197	0.4608886947
72	0.4918353116	0.4607417957
73	0.4921882703	0.4605761821
74	0.4924882491	0.4604321435
75	0.4930093383	0.4602450253
76	0.4937011689	0.4599806937
77	0.4939772088	0.4598420478
78	0.4943336733	0.4596972219
79	0.4948195563	0.4595673183
80	0.4951802028	0.4593987158
81	0.4956608318	0.4591821911
82	0.4959742403	0.4589893865
83	0.4963721804	0.4588792414
84	0.4968540581	0.4586716738
85	0.4974306805	0.4585252348
86	0.4976870257	0.4583823312
87	0.4978391285	0.4582662717
88	0.4982533909	0.4580705706
89	0.4987382665	0.4578179693
90	0.499134789	0.4576800584
91	0.4994234485	0.4575667829
92	0.4997039427	0.4574595605
93	0.5001259954	0.4572270413
94	0.5002991128	0.4571144776
95	0.5005894585	0.4570027277
96	0.5008935681	0.4568782419
97	0.5011835253	0.4567523842
98	0.5014681585	0.4565864512
